"objeto","tipo","operacion","archivo","linea","estado","evidencia"
"remitos_proveedor_cabecera","tabla","DELETE FROM","factory/Mapper.php","12709","detectado","DELETE FROM remitos_proveedor_cabecera"
"remitos_proveedor_cabecera","tabla","FROM","factory/Mapper.php","12712","detectado","FROM remitos_proveedor_cabecera"
"remitos_proveedor_cabecera","tabla","INSERT INTO","factory/Mapper.php","12673","detectado","INSERT INTO remitos_proveedor_cabecera"
"remitos_proveedor_detalle","tabla","DELETE FROM","factory/Mapper.php","12707","detectado","DELETE FROM remitos_proveedor_detalle"
"remitos_proveedor_detalle","tabla","DELETE FROM","factory/Mapper.php","12769","detectado","DELETE FROM remitos_proveedor_detalle"
"remitos_proveedor_detalle","tabla","FROM","factory/Mapper.php","12773","detectado","FROM remitos_proveedor_detalle"
"remitos_proveedor_detalle","tabla","INSERT INTO","factory/Mapper.php","12730","detectado","INSERT INTO remitos_proveedor_detalle"
"rendicion_de_gastos","tabla","FROM","factory/Mapper.php","12833","detectado","FROM rendicion_de_gastos"
"rendicion_de_gastos","tabla","INSERT INTO","factory/Mapper.php","12792","detectado","INSERT INTO rendicion_de_gastos"
"retencion_efectuada","tabla","FROM","factory/Mapper.php","12893","detectado","FROM retencion_efectuada"
"retencion_efectuada","tabla","INSERT INTO","factory/Mapper.php","12851","detectado","INSERT INTO retencion_efectuada"
"retencion_ganancias_tabla","tabla","FROM","factory/Mapper.php","13056","detectado","FROM retencion_ganancias_tabla"
"retencion_ganancias_tabla","tabla","INSERT INTO","factory/Mapper.php","13020","detectado","INSERT INTO retencion_ganancias_tabla"
"retencion_sufrida","tabla","FROM","factory/Mapper.php","13001","detectado","FROM retencion_sufrida"
"retencion_sufrida","tabla","INSERT INTO","factory/Mapper.php","12962","detectado","INSERT INTO retencion_sufrida"
"retenciones_ganancias_honorarios","tabla","FROM","factory/Mapper.php","12945","detectado","FROM retenciones_ganancias_honorarios"
"retenciones_ganancias_honorarios","tabla","INSERT INTO","factory/Mapper.php","12912","detectado","INSERT INTO retenciones_ganancias_honorarios"
"retiro_socio","tabla","FROM","factory/Mapper.php","13118","detectado","FROM retiro_socio"
"retiro_socio","tabla","INSERT INTO","factory/Mapper.php","13074","detectado","INSERT INTO retiro_socio"
"REVISAR_MANUALMENTE","unknown","EjecutarStoredProcedure*","factory/Datos.php","124","revisar manualmente","SP din?mico: $name"
"REVISAR_MANUALMENTE","unknown","EjecutarStoredProcedure*","factory/Datos.php","137","revisar manualmente","SP din?mico: $name"
"REVISAR_MANUALMENTE","unknown","EjecutarStoredProcedure*","factory/Datos.php","138","revisar manualmente","SP din?mico: $name"
